Date,Total_Product_1,Parties_Reporting
2017-04-29,152,50
2017-04-30,198,50
2017-05-01,99,50
2017-05-02,66,50
2017-05-03,75,50
2017-05-04,60,50
2017-05-05,78,50
2017-05-06,142,50
2017-05-07,87,50
2017-05-08,23,50
2017-05-09,85,50
2017-05-10,161,50
2017-05-11,71,50
2017-05-12,148,50
2017-05-13,167,50
2017-05-14,145,50
2017-05-15,145,50
2017-05-16,58,50
2017-05-17,86,50
2017-05-18,92,50
2017-05-19,221,50
2017-05-20,143,50
2017-05-21,166,50
2017-05-22,84,50
2017-05-23,82,50
2017-05-24,116,50
2017-05-25,99,50
2017-05-26,75,50
2017-05-27,235,50
2017-05-28,163,50
2017-05-29,77,50
2017-05-30,184,50
2017-05-31,140,50
2017-06-01,58,50
2017-06-02,151,50
2017-06-03,170,50
2017-06-04,189,50
2017-06-05,70,50
2017-06-06,41,50
2017-06-07,102,50
2017-06-08,87,50
2017-06-09,156,50
2017-06-10,210,50
2017-06-11,185,50
2017-06-12,148,50
2017-06-13,140,50
2017-06-14,85,50
2017-06-15,76,50
2017-06-16,170,50
2017-06-17,89,50
2017-06-18,180,50
2017-06-19,171,50
2017-06-20,102,50
2017-06-21,56,50
2017-06-22,123,50
2017-06-23,135,50
2017-06-24,147,50
2017-06-25,138,50
2017-06-26,184,50
2017-06-27,113,50
2017-06-28,101,50
2017-06-29,60,50
2017-06-30,160,50
2017-07-01,94,50
2017-07-02,251,50
2017-07-03,121,50
2017-07-04,79,50
2017-07-05,131,50
2017-07-06,51,50
2017-07-07,79,50
2017-07-08,174,50
2017-07-09,142,50
2017-07-10,10,50
2017-07-11,95,50
2017-07-12,99,50
2017-07-13,49,50
2017-07-14,56,50
2017-07-15,155,50
2017-07-16,182,50
2017-07-17,86,50
2017-07-18,106,50
2017-07-19,98,50
2017-07-20,61,50
2017-07-21,53,50
2017-07-22,78,50
2017-07-23,81,50
2017-07-24,121,50
2017-07-25,35,50
2017-07-26,38,50
2017-07-27,116,50
2017-07-28,124,50
2017-07-29,77,50
2017-07-30,149,50
2017-07-31,142,50
2017-08-01,237,50
2017-08-02,149,50
2017-08-03,98,50
2017-08-04,101,50
2017-08-05,86,50
2017-08-06,108,50
2017-08-07,79,50
2017-08-08,36,50
2017-08-09,40,50
2017-08-10,101,50
2017-08-11,131,50
2017-08-12,140,50
2017-08-13,121,50
2017-08-14,85,50
2017-08-15,33,50
2017-08-16,92,50
2017-08-17,22,50
2017-08-18,103,50
2017-08-19,107,50
2017-08-20,91,50
2017-08-21,79,50
2017-08-22,31,50
2017-08-23,48,50
2017-08-24,8,50
2017-08-25,82,50
2017-08-26,61,50
2017-08-27,152,50
2017-08-28,110,50
2017-08-29,102,50
2017-08-30,19,50
2017-08-31,38,50
2017-09-01,56,50
2017-09-02,147,50
2017-09-03,77,50
2017-09-04,96,50
2017-09-05,16,50
2017-09-06,72,50
2017-09-07,51,50
2017-09-08,95,50
2017-09-09,98,50
2017-09-10,55,50
2017-09-11,21,50
2017-09-12,50,50
2017-09-13,10,50
2017-09-14,59,50
2017-09-15,61,50
2017-09-16,199,50
2017-09-17,121,50
2017-09-18,57,50
2017-09-19,80,50
2017-09-20,63,50
2017-09-21,61,50
2017-09-22,55,50
2017-09-23,73,50
2017-09-24,107,50
2017-09-25,42,50
2017-09-26,78,50
2017-09-27,124,50
2017-09-28,40,50
2017-09-29,101,50
2017-09-30,146,50
2017-10-01,123,50
2017-10-02,83,50
2017-10-03,56,50
2017-10-04,83,50
2017-10-05,7,50
2017-10-06,71,50
2017-10-07,88,50
2017-10-08,171,50
2017-10-09,35,50
2017-10-10,34,50
2017-10-11,62,50
2017-10-12,58,50
2017-10-13,102,50
2017-10-14,150,50
2017-10-15,122,50
2017-10-16,24,50
2017-10-17,115,50
2017-10-18,72,50
2017-10-19,81,50
2017-10-20,65,50
2017-10-21,132,50
2017-10-22,71,50
2017-10-23,50,50
2017-10-24,128,50
2017-10-25,48,50
2017-10-26,94,50
2017-10-27,100,50
2017-10-28,93,50
2017-10-29,39,50
2017-10-30,107,50
2017-10-31,43,50
2017-11-01,127,50
2017-11-02,105,50
2017-11-03,34,50
2017-11-04,226,50
2017-11-05,49,50
2017-11-06,45,50
2017-11-07,27,50
2017-11-08,42,50
2017-11-09,103,50
2017-11-10,89,50
2017-11-11,118,50
2017-11-12,72,50
2017-11-13,129,50
2017-11-14,47,50
2017-11-15,71,50
2017-11-16,56,50
2017-11-17,49,50
2017-11-18,100,50
2017-11-19,188,50
2017-11-20,71,50
2017-11-21,33,50
2017-11-22,111,50
2017-11-23,64,50
2017-11-24,88,50
2017-11-25,130,50
2017-11-26,119,50
2017-11-27,30,50
2017-11-28,7,50
2017-11-29,40,50
2017-11-30,74,50
2017-12-01,85,50
2017-12-02,128,50
2017-12-03,112,50
2017-12-04,55,50
2017-12-05,63,50
2017-12-06,34,50
2017-12-07,35,50
2017-12-08,121,50
2017-12-09,81,50
2017-12-10,143,50
2017-12-11,46,50
2017-12-12,42,50
2017-12-13,55,50
2017-12-14,140,50
2017-12-15,68,50
2017-12-16,88,50
2017-12-17,103,50
2017-12-18,33,50
2017-12-19,107,50
2017-12-20,61,50
2017-12-21,24,50
2017-12-22,64,50
2017-12-23,74,50
2017-12-24,130,50
2017-12-25,178,50
2017-12-26,53,50
2017-12-27,142,50
2017-12-28,22,50
2017-12-29,52,50
2017-12-30,93,50
2017-12-31,114,50
2018-01-01,87,50
2018-01-02,73,50
2018-01-03,116,50
2018-01-04,58,50
2018-01-05,150,50
2018-01-06,160,50
2018-01-07,90,50
2018-01-08,68,50
2018-01-09,13,50
2018-01-10,29,50
2018-01-11,21,50
2018-01-12,25,50
2018-01-13,60,50
2018-01-14,71,50
2018-01-15,37,50
2018-01-16,86,50
2018-01-17,89,50
2018-01-18,15,50
2018-01-19,108,50
2018-01-20,61,50
2018-01-21,92,50
2018-01-22,100,50
2018-01-23,21,50
2018-01-24,58,50
2018-01-25,56,50
2018-01-26,139,50
2018-01-27,79,50
2018-01-28,80,50
2018-01-29,101,50
2018-01-30,76,50
2018-01-31,40,50
2018-02-01,36,50
2018-02-02,72,50
2018-02-03,135,50
2018-02-04,66,50
2018-02-05,123,50
2018-02-06,47,50
2018-02-07,17,50
2018-02-08,11,50
2018-02-09,70,50
2018-02-10,79,50
2018-02-11,77,50
2018-02-12,68,50
2018-02-13,24,50
2018-02-14,82,50
2018-02-15,70,50
2018-02-16,50,50
2018-02-17,71,50
2018-02-18,215,50
2018-02-19,55,50
2018-02-20,54,50
2018-02-21,7,50
2018-02-22,65,50
2018-02-23,60,50
2018-02-24,96,50
2018-02-25,112,50
2018-02-26,87,50
2018-02-27,106,50
2018-02-28,66,50
2018-03-01,68,50
2018-03-02,139,50
2018-03-03,126,50
2018-03-04,126,50
2018-03-05,72,50
2018-03-06,49,50
2018-03-07,30,50
2018-03-08,48,50
2018-03-09,33,50
2018-03-10,199,50
2018-03-11,52,50
2018-03-12,100,50
2018-03-13,30,50
2018-03-14,83,50
2018-03-15,41,50
2018-03-16,187,50
2018-03-17,253,50
2018-03-18,148,50
2018-03-19,61,50
2018-03-20,52,50
2018-03-21,134,50
2018-03-22,47,50
2018-03-23,199,50
2018-03-24,140,50
2018-03-25,108,50
2018-03-26,74,50
2018-03-27,139,50
2018-03-28,98,50
2018-03-29,210,50
2018-03-30,117,50
2018-03-31,85,50
2018-04-01,178,50
2018-04-02,69,50
2018-04-03,83,50
2018-04-04,51,50
2018-04-05,85,50
2018-04-06,136,50
2018-04-07,77,50
2018-04-08,86,50
2018-04-09,75,50
2018-04-10,21,50
2018-04-11,49,50
2018-04-12,77,50
2018-04-13,71,50
2018-04-14,158,50
2018-04-15,81,50
2018-04-16,97,50
2018-04-17,35,50
2018-04-18,61,50
2018-04-19,94,50
2018-04-20,65,50
2018-04-21,43,50
2018-04-22,177,50
2018-04-23,15,50
2018-04-24,60,50
2018-04-25,72,50
2018-04-26,55,50
2018-04-27,156,50
2018-04-28,136,50
2018-04-29,129,50
2018-04-30,182,50
2018-05-01,94,50
2018-05-02,28,50
2018-05-03,32,50
2018-05-04,109,50
2018-05-05,147,50
2018-05-06,129,50
2018-05-07,40,50
2018-05-08,42,50
2018-05-09,75,50
2018-05-10,39,50
2018-05-11,105,50
2018-05-12,74,50
2018-05-13,78,50
2018-05-14,159,50
2018-05-15,44,50
2018-05-16,37,50
2018-05-17,64,50
2018-05-18,226,50
2018-05-19,184,50
2018-05-20,98,50
2018-05-21,103,50
2018-05-22,37,50
2018-05-23,81,50
2018-05-24,51,50
2018-05-25,115,50
2018-05-26,69,50
2018-05-27,110,50
2018-05-28,58,50
2018-05-29,69,50
2018-05-30,112,50
2018-05-31,53,50
2018-06-01,186,50
2018-06-02,156,50
2018-06-03,298,50
2018-06-04,112,50
2018-06-05,74,50
2018-06-06,15,50
2018-06-07,64,50
2018-06-08,75,50
2018-06-09,161,50
2018-06-10,127,50
2018-06-11,50,50
2018-06-12,58,50
2018-06-13,56,50
2018-06-14,54,50
2018-06-15,190,50
2018-06-16,56,50
2018-06-17,191,50
2018-06-18,123,50
2018-06-19,38,50
2018-06-20,140,50
2018-06-21,89,50
2018-06-22,119,50
2018-06-23,110,50
2018-06-24,108,50
2018-06-25,91,50
2018-06-26,57,50
2018-06-27,129,50
2018-06-28,71,50
2018-06-29,59,50
2018-06-30,141,50
2018-07-01,66,50
2018-07-02,16,50
2018-07-03,31,50
2018-07-04,25,50
2018-07-05,43,50
2018-07-06,42,50
2018-07-07,94,50
2018-07-08,52,50
2018-07-09,78,50
2018-07-10,20,50
2018-07-11,38,50
2018-07-12,12,50
2018-07-13,30,50
2018-07-14,17,50
2018-07-15,19,50
2018-07-16,2,50
2018-07-17,5,50
2018-07-18,61,50
2018-07-19,45,50
2018-07-20,59,50
2018-07-21,51,50
2018-07-22,75,50
2018-07-23,87,50
2018-07-24,58,50
2018-07-25,74,50
2018-07-26,9,50
2018-07-27,115,50
2018-07-28,87,50
2018-07-29,97,50
2018-07-30,39,50
2018-07-31,67,50
2018-08-01,70,50
2018-08-02,52,50
2018-08-03,46,50
2018-08-04,76,50
2018-08-05,29,50
2018-08-06,55,50
2018-08-07,3,50
2018-08-08,30,50
2018-08-09,32,50
2018-08-10,60,50
2018-08-11,113,50
2018-08-12,41,50
2018-08-13,36,50
2018-08-14,67,50
2018-08-15,32,50
2018-08-16,27,50
2018-08-17,37,50
2018-08-18,56,50
2018-08-19,51,50
2018-08-20,59,50
2018-08-21,54,50
2018-08-22,4,50
2018-08-23,118,50
2018-08-24,42,50
2018-08-25,46,50
2018-08-26,50,50
2018-08-27,31,50
2018-08-28,11,50
2018-08-29,63,50
2018-08-30,85,50
2018-08-31,88,50
2018-09-01,54,50
2018-09-02,80,50
2018-09-03,64,50
2018-09-04,59,50
2018-09-05,0,50
2018-09-06,72,50
2018-09-07,48,50
2018-09-08,54,50
2018-09-09,46,50
2018-09-10,24,50
2018-09-11,7,50
2018-09-12,102,50
2018-09-13,0,50
2018-09-14,56,50
2018-09-15,77,50
2018-09-16,74,50
2018-09-17,51,50
2018-09-18,50,50
2018-09-19,31,50
2018-09-20,20,50
2018-09-21,153,50
2018-09-22,63,50
2018-09-23,106,50
2018-09-24,99,50
2018-09-25,9,50
2018-09-26,33,50
2018-09-27,10,50
2018-09-28,97,50
2018-09-29,73,50
2018-09-30,34,50
